person,hand,jumps
alex,bad,1
alex,bad,5
alex,bad,1
alex,bad,0
alex,bad,0
alex,bad,1
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,1
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,1
alex,bad,2
alex,bad,1
alex,bad,1
alex,bad,0
alex,bad,0
alex,bad,0
alex,bad,1
alex,bad,0
alex,bad,0
alex,good,6
alex,good,0
alex,good,1
alex,good,0
alex,good,4
alex,good,3
alex,good,1
alex,good,1
alex,good,0
alex,good,1
alex,good,4
alex,good,2
alex,good,0
alex,good,1
alex,good,3
alex,good,0
alex,good,4
alex,good,1
alex,good,1
alex,good,0
alex,good,2
alex,good,2
alex,good,0
alex,good,1
alex,good,1
alex,good,1
alex,good,2
alex,good,3
alex,good,1
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,1
rosalie,good,0
rosalie,good,0
rosalie,good,1
rosalie,good,1
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,1
rosalie,good,1
rosalie,good,0
rosalie,good,0
rosalie,good,0
rosalie,good,1
rosalie,good,0
rosalie,good,0
rosalie,good,1
rosalie,good,0
rosalie,good,0
rosalie,good,1
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,0
rosalie,bad,1
rosalie,bad,1
rosalie,bad,1
joseppe,good,2
joseppe,good,2
joseppe,good,2
joseppe,good,2
joseppe,good,2
joseppe,good,2
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,0
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,good,1
joseppe,bad,1
joseppe,bad,1
joseppe,bad,1
joseppe,bad,1
joseppe,bad,1
joseppe,bad,1
joseppe,bad,1
joseppe,bad,1
joseppe,bad,1
joseppe,bad,2
joseppe,bad,2
joseppe,bad,2
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
joseppe,bad,0
aymeric,good,2
aymeric,good,1
aymeric,good,2
aymeric,good,1
aymeric,good,1
aymeric,good,0
aymeric,good,2
aymeric,good,0
aymeric,good,1
aymeric,good,1
aymeric,good,1
aymeric,good,0
aymeric,good,0
aymeric,good,2
aymeric,good,1
aymeric,good,5
aymeric,good,3
aymeric,good,0
aymeric,good,0
aymeric,good,0
aymeric,good,0
aymeric,good,1
aymeric,good,1
aymeric,good,1
aymeric,good,1
aymeric,good,5
aymeric,good,2
aymeric,good,3
aymeric,good,2
aymeric,good,1
aymeric,bad,1
aymeric,bad,1
aymeric,bad,0
aymeric,bad,0
aymeric,bad,1
aymeric,bad,0
aymeric,bad,1
aymeric,bad,0
aymeric,bad,0
aymeric,bad,1
aymeric,bad,1
aymeric,bad,0
aymeric,bad,0
aymeric,bad,1
aymeric,bad,2
aymeric,bad,0
aymeric,bad,2
aymeric,bad,1
aymeric,bad,1
aymeric,bad,0
aymeric,bad,4
aymeric,bad,1
aymeric,bad,1
aymeric,bad,0
aymeric,bad,2
aymeric,bad,1
aymeric,bad,1
aymeric,bad,2
aymeric,bad,0
aymeric,bad,0
